,beta,lnalpha,lnalpha.c,Smsy_lambert,Umsy_lambert,,,
511000,9.37528E-06,1.552748749,1.895322059,74450.97209,0.697998561,,,
511100,1.8037E-05,1.374573497,1.882495805,38532.49955,0.695012224,,,
511200,8.71786E-06,0.843084382,1.132799555,55015.17522,0.479614383,,,
511300,5.1853E-06,1.020239817,1.34902666,106100.2258,0.550161038,,,
511400,2.40207E-05,2.37088515,3.003433519,36649.1326,0.880339212,,,
511500,1.87545E-05,1.61379632,1.932181207,37668.49014,0.706455426,,,
511600,1.57674E-05,1.645789539,2.01269684,45936.0268,0.724290249,,,
511700,1.48865E-05,1.853728946,2.338732363,52928.86816,0.787923612,,,
511800,1.42224E-05,1.499095646,2.096333304,52164.38616,0.741905156,,,
511900,1.40764E-05,1.855225128,2.18035844,53898.07645,0.75868914,,,
512000,2.01685E-05,1.754643387,2.207408768,37876.06798,0.763901706,,,
512100,1.32508E-05,1.301650428,2.096279685,55988.70854,0.741894156,,,
512200,1.58995E-05,2.071291621,2.398829479,50204.46586,0.798225406,,,
512300,1.59367E-05,1.492273106,2.111544247,46747.98608,0.74501067,,,
512400,7.2827E-06,1.527728277,2.000154964,99079.96436,0.721569209,,,
512500,1.43027E-05,1.833963411,2.429902356,56170.36818,0.803386574,,,
512600,1.83911E-05,1.834880252,2.171574372,41159.91136,0.756976645,,,
512700,1.52898E-05,1.508320006,1.751859313,43381.77222,0.663299083,,,
512800,1.1108E-05,1.74453753,2.175629024,68218.27324,0.757768329,,,
512900,1.29721E-05,1.309905309,1.616616082,48406.64012,0.627933474,,,
513000,1.50351E-05,1.513919581,2.210880512,50851.80869,0.764564066,,,
513100,1.21832E-05,1.371081475,1.746756384,54338.07041,0.662011873,,,
513200,1.15843E-05,1.370740751,1.96815291,61681.10574,0.714531016,,,
513300,1.95001E-05,2.450298653,3.451543302,47201.18387,0.920429643,,,
513400,2.2491E-05,2.853446477,3.49493975,41063.94555,0.923569273,,,
513500,1.14822E-05,2.483782928,3.3069618,79173.98549,0.909088877,,,
513600,5.82004E-06,1.463397374,1.919409718,120883.3424,0.703546115,,,
513700,1.67719E-05,1.738263577,2.144347933,44813.45978,0.751606567,,,
513800,1.4962E-05,1.754919776,2.219058296,51204.3701,0.766118328,,,
513900,2.19185E-05,2.167221329,2.723583974,38638.66311,0.846902655,,,
514000,8.57379E-06,1.314918988,1.684990869,75362.14024,0.646139202,,,
