,beta,lnalpha,lnalpha.c,Smsy_lambert,Umsy_lambert,,132409.8585,535832.8105
511600,2.41313E-06,1.026995827,1.378628598,231765.8648,0.55928094,,,
511700,1.03227E-05,1.518842493,1.867311981,66983.04823,0.691447785,,,
511800,1.00735E-05,1.57178722,2.158394526,74888.58098,0.754388848,,,
511900,1.99723E-05,2.092149907,2.473964018,40582.01794,0.810515574,,,
512000,7.79516E-06,1.189630579,1.64095242,81395.42631,0.634490209,,,
512100,1.53331E-05,1.785268924,2.330785193,51296.00871,0.786529335,,,
512200,1.27758E-05,1.51029181,1.989340554,56294.5611,0.719206127,,,
512300,1.67229E-05,1.772078744,2.121787098,44674.43932,0.747085057,,,
512400,6.89012E-06,1.105232285,1.4367341,83715.14888,0.576807048,,,
512500,1.60865E-05,1.614839005,2.038655017,45370.81735,0.729855764,,,
512600,2.07249E-06,0.817079827,1.462237183,281951.46,0.584342796,,,
512700,4.50213E-06,1.012314672,1.512019352,132999.03,0.598778276,,,
512800,1.39624E-05,1.601914651,2.034926754,52216.13471,0.729061891,,,
512900,1.44417E-05,1.532711414,2.060802063,50861.87412,0.734533907,,,
513000,2.22683E-05,2.180656023,2.711507787,37959.37206,0.845291997,,,
513100,1.12189E-05,1.795881124,2.343942618,70313.06523,0.788833633,,,
513200,4.39427E-06,0.967791939,1.331936255,123987.9625,0.544836866,,,
513300,2.04015E-05,2.292140672,2.724094239,41515.1263,0.84697039,,,
513400,1.2839E-05,1.571372447,1.98356022,55918.24979,0.717936646,,,
513500,1.88726E-05,2.009951004,2.297958788,41366.34539,0.780689957,,,
513600,6.388E-06,1.444059378,1.939056531,110834.8165,0.708012442,,,
513700,1.01463E-05,1.279819266,1.591472258,61211.61747,0.62106958,,,
513800,2.91259E-06,1.155384349,1.501541249,204549.5696,0.595769998,,,
513900,1.73325E-05,1.582302659,2.065362038,42434.00215,0.735489125,,,
514000,1.06037E-05,1.650848817,2.048662256,69030.32579,0.731977586,,,
514100,8.3626E-06,1.377449257,1.895148433,83461.90131,0.697958286,,,
514200,1.1929E-05,1.399014435,1.813920108,56891.92064,0.678661114,,,
514300,3.4464E-06,0.570925882,1.002623612,125871.9647,0.433805678,,,
514400,1.28021E-05,1.845482553,2.368713048,61952.07991,0.793116003,,,
514500,1.55237E-05,1.620858682,2.023762254,46810.73435,0.726673613,,,
514600,1.29704E-05,1.467908308,1.956904674,54896.31101,0.712024567,,,
514700,1.19797E-05,1.474228302,1.848973902,57355.22037,0.687100542,,,
514800,7.20995E-06,1.513167538,2.007957565,100314.8119,0.723264492,,,
514900,4.24056E-06,1.090299625,1.513688478,141315.2443,0.599256005,,,
515000,2.07638E-05,2.19423823,2.61180837,40042.01582,0.831426276,,,
515100,1.37916E-05,1.641606842,2.222264229,55593.47779,0.766725372,,,
515200,4.36512E-06,1.158260211,1.664742754,146804.1684,0.640817656,,,
515300,8.96184E-06,1.164331386,1.555227621,68179.61631,0.611014475,,,
515400,1.11807E-05,1.343984654,1.719111161,58580.70535,0.654974426,,,
515500,1.04319E-05,1.32241098,1.694576721,62178.15598,0.648638123,,,
515600,4.96102E-06,1.14571602,1.588075855,125001.5196,0.620135414,,,
515700,9.28183E-06,1.125197692,1.579540686,66558.02847,0.617780488,,,
515800,1.41822E-05,1.643279841,2.240527519,54304.45159,0.770159188,,,
515900,2.63824E-06,1.003401672,1.6121438,237551.8253,0.626719274,,,
516000,7.86714E-06,1.117575386,1.512506936,76129.07061,0.598917872,,,
516100,6.76583E-06,1.242453889,1.498755588,87937.05446,0.594967535,,,
516200,5.91269E-06,1.332583132,1.626218462,106640.3353,0.630530736,,,
516300,9.99625E-06,1.457187213,1.727861081,65746.03241,0.657213527,,,
